"GSM552961"	"GSM552962"	"GSM552963"	"GSM552964"	"GSM552965"	"GSM552966"	"GSM552968"	"GSM552969"	"GSM552970"	"GSM552971"	"GSM552972"	"GSM552973"	"GSM552974"	"GSM552975"	"GSM552976"	"GSM552977"	"GSM552978"	"GSM552979"	"GSM552980"	"GSM552981"	"GSM552982"	"GSM552983"	"GSM552984"	"GSM552985"	"GSM552986"	"GSM552987"	"GSM552988"	"GSM552989"	"GSM552990"	"GSM552991"	"GSM552992"	"GSM552993"	"GSM552994"	"GSM552995"	"GSM552996"	"GSM552997"	"GSM552998"	"GSM552999"	"GSM553000"	"GSM553001"	"GSM553002"	"GSM553003"	"GSM553004"	"GSM553005"	"GSM553006"	"GSM553007"	"GSM553008"	"GSM553009"	"GSM553010"	"GSM553011"	"GSM553012"	"GSM553013"	"GSM553014"	"GSM553015"	"GSM553016"	"GSM553017"	"GSM553018"	"GSM553019"	"GSM553020"	"GSM553021"	"GSM553022"	"GSM553023"	"GSM553024"	"GSM553025"	"GSM553026"	"GSM553027"	"GSM553028"	"GSM553029"	"GSM553030"	"GSM553031"	"GSM553032"	"GSM553033"	"GSM553034"	"GSM553035"	"GSM553036"	"GSM553037"	"GSM553038"	"GSM553039"	"GSM553040"	"GSM553041"	"GSM553043"	"GSM553045"	"GSM553046"	"GSM553047"	"GSM553048"	"GSM553049"	"GSM553050"	"GSM553051"	"GSM553052"	"GSM553053"	"GSM553054"	"GSM553055"	"GSM553056"	"GSM553057"	"GSM553058"	"GSM553059"	"GSM553060"	"GSM553061"	"GSM553062"	"GSM553063"	"GSM553064"	"GSM553065"	"GSM553066"	"GSM553067"	"GSM553069"	"GSM553070"	"GSM553071"	"GSM553072"	"GSM553073"	"GSM553074"	"GSM553075"	"GSM553076"	"GSM553077"	"GSM553079"	"GSM553081"	"GSM553082"	"GSM553083"	"GSM553084"	"GSM553085"	"GSM553086"	"GSM553087"	"GSM553089"	"GSM553090"	"GSM553091"	"GSM553092"	"GSM553093"	"GSM553094"	"GSM553095"	"GSM553096"	"GSM553097"	"GSM553098"	"GSM553099"	"GSM553100"	"GSM553101"	"GSM553102"	"GSM553103"	"GSM553104"	"GSM553105"	"GSM553106"	"GSM553107"	"GSM553109"	"GSM553110"	"GSM553111"	"GSM553112"	"GSM553113"	"GSM553114"	"GSM553115"	"GSM553116"	"GSM553117"	"GSM553118"	"GSM553119"	"GSM553120"	"GSM553121"	"GSM553122"	"GSM553123"	"GSM553124"	"GSM553125"	"GSM553126"	"GSM553127"	"GSM553128"	"GSM553129"	"GSM553130"	"GSM553131"	"GSM553132"	"GSM553133"	"GSM553134"	"GSM553135"	"GSM553136"	"GSM553137"	"GSM553138"	"GSM553139"	"GSM553140"	"GSM553141"	"GSM553142"	"GSM553143"	"GSM553144"	"GSM553145"	"GSM553146"	"GSM553147"	"GSM553148"	"GSM553149"	"GSM553150"	"GSM553151"	"GSM553152"	"GSM553154"	"GSM553155"	"GSM553156"	"GSM553157"	"GSM553158"	"GSM553159"	"GSM553160"	"GSM553161"	"GSM553162"	"GSM553163"	"GSM553164"	"GSM553165"	"GSM553166"	"GSM553167"	"GSM553168"	"GSM553169"	"GSM553170"
"HS_10"	9.191323979	8.594101345	8.52825149	9.48479555	9.069239462	8.269755539	8.857723271	9.827103646	8.700255772	8.535998353	9.368457781	8.253225288	9.634663042	9.00891358	9.95150721	10.46450294	8.565086464	9.732383669	8.711176388	8.43662588	9.293453469	9.523457535	8.738907078	9.388084963	8.762183246	8.38903917	8.689753046	8.175237344	8.705849868	10.2665123	8.548352276	8.838173918	9.069239462	8.279031749	9.827103646	8.667427063	8.291465945	9.084929664	9.150049156	8.857723271	8.67838784	8.700255772	8.857723271	8.354864319	9.43733282	8.979614249	8.420087328	8.552352031	8.196976607	8.360681043	8.637827362	8.65235862	9.667846616	8.884870569	9.840067594	8.689753046	8.936016154	7.90219065	8.667427063	9.045860381	9.031142311	9.017373571	8.10953703	7.913229251	8.899608519	8.64763324	8.394981005	8.950000314	8.509150941	9.001858258	8.744924314	8.227698249	8.825137429	8.689753046	8.64763324	10.08702345	9.523457535	9.183298673	8.906981101	9.357560082	8.773494441	8.306767506	8.456133547	8.354864319	8.67838784	9.523457535	8.28385675	8.333341581	9.246034438	8.667427063	9.475156946	9.209538743	9.183298673	8.439665353	9.273777015	8.838173918	9.505343358	8.230031044	8.657306894	9.255423878	8.618318906	8.722296322	10.03443344	8.1009299	8.786395577	8.422933487	8.317594909	8.073420185	8.857723271	8.618318906	8.400668971	8.95755439	9.183298673	10.43529175	8.248808724	8.667427063	9.800823156	8.017023188	8.535998353	8.779817373	8.210039475	8.722296322	8.253225288	8.857723271	9.417069042	8.773494441	8.445999456	8.767904311	8.28385675	8.662359427	8.111679769	9.48479555	8.456133547	9.166307687	9.494718379	8.11579428	8.153222063	8.618318906	8.779817373	9.494718379	8.831737965	8.175237344	8.568860371	8.727865875	8.117806691	8.311921538	9.388084963	9.00891358	9.445907282	8.95755439	8.805034329	8.805034329	8.317594909	8.637827362	8.539965568	9.092162274	9.40686427	10.06132224	8.532298415	8.153222063	8.662359427	8.079946096	9.533533354	8.662359427	9.377909458	9.645316034	8.979614249	10.84189959	8.750790747	9.40686427	9.634663042	9.053678361	9.209538743	8.612747876	10.02099185	9.124961493	8.69438589	8.716751019	8.073420185	9.667846616	9.40686427	9.43733282	8.439665353	9.33955861	8.756440277	9.13326689	8.257993187	8.798756154	8.767904311	10.25218693	8.899608519	8.864498962	9.368457781	10.1009592	8.251152077	8.235183504	8.400668971	8.773494441	8.568860371	8.568860371	8.603262594
"HS_104"	7.90219065	9.038198057	8.198853653	7.842546728	7.89998465	7.775218658	7.975675741	8.965407292	7.989700779	7.953671512	7.981645012	7.793358889	7.967739278	7.932681929	7.989700779	8.181660383	8.153222063	7.928222656	7.975675741	7.852559005	7.846448462	8.013208972	7.849420491	8.054906868	7.870236507	8.513062505	7.932681929	8.06305284	8.164137369	8.036974356	7.895523686	8.346772521	8.052957	8.325614591	8.241744509	8.286392531	8.117806691	8.11579428	8.0209631	8.013208972	7.811823636	7.86170469	7.913229251	7.921718289	8.276636012	7.983484028	8.005084409	7.953671512	8.246436975	8.011119955	8.65235862	7.970087716	7.983484028	7.940642142	7.888174055	8.28385675	8.017023188	8.069328116	7.963488045	7.989700779	8.042657082	7.906501573	8.260167348	7.793358889	7.953671512	8.046540047	8.487651569	7.821844366	7.842546728	7.934736967	8.212164131	7.938696758	7.938696758	7.981645012	8.121790664	7.908667027	7.875306318	8.061022388	8.022900749	7.985601035	8.38903917	8.117806691	8.466475912	8.26489571	7.995536202	7.921718289	8.017023188	9.60493224	8.153222063	8.662359427	7.975675741	7.83136935	8.642975697	8.320312471	7.872692463	8.52047937	7.942913443	9.303132129	7.987696869	7.997465746	7.975675741	8.019122739	8.022900749	8.090667323	8.986789114	8.607951588	8.279031749	8.463046675	8.04465108	8.078011872	8.257993187	8.061022388	7.919772963	8.212164131	8.10953703	8.06305284	8.03290784	8.805034329	7.973762537	7.893139113	8.65235862	8.028931877	8.466475912	8.0209631	8.157552516	8.166147784	8.075802558	8.129878859	8.374460939	8.00113542	8.257993187	8.035083647	8.121790664	8.221276069	7.945156519	8.203344335	8.750790747	8.251152077	8.04465108	7.979756403	8.320312471	8.251152077	7.938696758	8.18604687	8.986789114	7.895523686	8.309389846	7.957782684	7.970087716	8.022900749	7.970087716	8.580983147	8.612747876	7.888174055	8.042657082	7.842546728	7.957782684	8.293929752	8.017023188	8.117806691	8.00113542	8.194835792	7.981645012	7.906501573	8.773494441	8.140110975	7.775218658	8.019122739	7.867419229	7.975675741	7.90219065	7.90219065	7.985601035	8.565086464	8.038738245	8.416453056	8.39765214	8.210039475	8.056958124	8.069328116	8.046540047	7.83136935	8.64763324	8.0209631	8.090667323	9.00891358	8.838173918	7.921718289	8.452901457	8.119746907	7.917642505	7.890601342	8.064872659	7.975675741	7.951449479	7.910993351	7.947116605	7.921718289	8.026997658	8.179503046	7.838750034
"HS_115"	8.042657082	7.987696869	7.993590574	7.877919577	7.852559005	7.949272089	7.906501573	8.071475144	7.971924782	7.961676718	7.928222656	7.993590574	7.89998465	7.967739278	7.910993351	7.987696869	8.172687989	7.947116605	7.983484028	7.921718289	7.947116605	7.90219065	7.953671512	7.821844366	7.930378153	7.926020415	7.875306318	7.877919577	7.908667027	7.999424088	8.050769326	7.872692463	7.949272089	7.995536202	8.064872659	8.194835792	7.951449479	8.046540047	8.031029243	7.945156519	7.961676718	7.967739278	7.904536924	8.054906868	7.872692463	7.934736967	8.00113542	7.949272089	7.955686397	7.949272089	8.028931877	7.947116605	7.875306318	7.995536202	7.906501573	8.054906868	8.015070641	8.260167348	7.913229251	7.957782684	7.995536202	7.987696869	7.932681929	7.951449479	8.056958124	8.082068777	7.942913443	7.897880846	7.991721925	8.038738245	8.024971525	8.04465108	7.983484028	7.89998465	7.949272089	7.913229251	7.785505717	7.893139113	7.877919577	8.056958124	7.961676718	7.993590574	7.942913443	8.017023188	7.872692463	7.864652859	7.975675741	7.934736967	7.775218658	7.947116605	7.906501573	7.875306318	7.921718289	7.921718289	7.930378153	7.930378153	8.009002842	7.942913443	7.973762537	7.949272089	7.893139113	7.88560088	7.910993351	8.06305284	8.064872659	7.999424088	7.999424088	7.932681929	7.775218658	7.970087716	7.970087716	7.838750034	7.971924782	7.89998465	7.917642505	8.071475144	7.942913443	8.449378057	7.991721925	8.035083647	7.953671512	7.88560088	7.999424088	8.198853653	7.877919577	7.945156519	7.936587633	7.877919577	7.961676718	7.959859182	8.046540047	7.945156519	7.945156519	7.987696869	7.890601342	8.06305284	8.011119955	8.056958124	7.88560088	7.975675741	7.953671512	7.987696869	7.913229251	7.875306318	7.971924782	8.119746907	8.133769207	8.015070641	7.963488045	7.83136935	7.83136935	7.961676718	8.009002842	7.934736967	7.934736967	7.936587633	8.04465108	8.121790664	7.895523686	7.953671512	7.864652859	7.995536202	7.904536924	7.908667027	7.904536924	7.908667027	7.961676718	7.934736967	8.040710539	7.775218658	7.895523686	7.910993351	7.800531461	8.035083647	7.875306318	8.015070641	7.877919577	7.938696758	8.058998246	7.849420491	8.026997658	7.917642505	8.094928641	7.849420491	7.86170469	7.945156519	8.026997658	7.793358889	8.046540047	7.951449479	8.013208972	7.913229251	7.945156519	7.979756403	7.973762537	7.930378153	7.955686397	7.975675741	7.942913443	7.855787502	7.932681929
"HS_121"	8.296497664	8.13189353	8.360681043	8.190209079	8.221276069	8.2814769	8.267261416	8.048606425	8.253225288	8.125674324	8.177429505	8.203344335	8.311921538	8.223330092	8.35202218	8.420087328	8.333341581	8.164137369	8.133769207	8.330800429	8.142405299	8.237358053	8.239614163	8.32287704	8.048606425	8.18604687	8.43662588	8.330800429	8.346772521	8.34956309	8.183935474	8.088591865	8.175237344	8.509150941	8.133769207	8.239614163	8.420087328	8.357593455	8.288862395	8.246436975	8.463046675	8.243953746	8.28385675	8.476788061	8.177429505	8.18604687	8.239614163	8.235183504	8.248808724	8.343767361	8.52825149	8.34956309	8.52047937	8.572490826	8.439665353	8.107422064	8.223330092	8.148978419	8.505752467	8.086488808	8.181660383	8.198853653	8.054906868	8.505752467	8.878024099	8.360681043	8.442870137	8.251152077	8.212164131	8.135973596	8.276636012	8.469953976	8.094928641	8.404033103	8.269755539	8.151142517	8.286392531	8.32287704	8.170483686	8.243953746	8.125674324	8.212164131	8.618318906	8.633066489	8.330800429	8.18604687	8.325614591	8.153222063	8.466475912	8.125674324	8.142405299	8.223330092	7.993590574	8.142405299	8.212164131	8.386190682	8.35202218	8.04465108	8.442870137	8.317594909	8.253225288	8.181660383	8.073420185	8.38903917	8.637827362	8.469953976	8.43662588	8.524309248	8.221276069	8.291465945	8.279031749	8.194835792	8.291465945	8.048606425	8.198853653	8.463046675	8.296497664	8.532298415	8.286392531	8.190209079	8.509150941	8.371256537	8.148978419	8.194835792	8.276636012	8.207830216	8.210039475	8.346772521	8.544124354	8.241744509	8.138037555	8.188232064	8.476788061	8.52825149	8.422933487	8.129878859	8.272207614	8.239614163	8.157552516	8.099025978	8.071475144	8.306767506	8.223330092	8.35202218	8.075802558	8.155359944	8.301785832	8.304386059	8.237358053	8.181660383	8.2814769	8.123504456	8.572490826	8.684101058	8.42964799	8.207830216	8.2814769	8.071475144	8.084395819	8.36320655	8.257993187	8.43299539	8.183935474	8.052957	8.084395819	8.299161557	8.38903917	8.32287704	8.262549044	8.304386059	8.2814769	8.274433065	8.155359944	8.097052434	8.376878414	8.038738245	8.050769326	8.400668971	8.157552516	8.113796297	8.383007753	8.262549044	8.190209079	8.10953703	8.251152077	8.094928641	8.400668971	8.279031749	8.354864319	8.159576858	8.135973596	8.246436975	8.257993187	8.227698249	8.155359944	8.34956309	8.442870137	8.272207614	8.299161557	8.079946096	8.164137369
"HS_124"	7.915522191	7.785505717	7.90219065	7.793358889	7.893139113	7.888174055	8.39765214	7.890601342	7.775218658	8.042657082	7.800531461	7.852559005	7.793358889	7.913229251	8.092723407	8.170483686	7.83136935	7.8353294	7.949272089	8.064872659	7.785505717	7.738267487	7.811823636	7.987696869	7.938696758	7.88055758	7.800531461	8.061022388	7.875306318	7.826919393	7.942913443	7.738267487	8.046540047	7.959859182	7.761099127	8.135973596	7.826919393	8.050769326	7.821844366	7.842546728	7.852559005	8.127779165	7.785505717	8.038738245	7.806494498	7.875306318	7.977852079	7.738267487	7.970087716	8.013208972	7.817542512	7.864652859	7.83136935	7.947116605	7.979756403	8.773494441	7.915522191	8.107422064	7.738267487	7.821844366	7.983484028	8.084395819	7.785505717	8.330800429	8.198853653	8.048606425	7.8353294	7.923988908	7.957782684	7.775218658	8.092723407	8.009002842	8.391946141	7.775218658	7.852559005	7.775218658	7.919772963	7.811823636	7.738267487	7.973762537	8.067047568	7.775218658	7.775218658	7.738267487	7.838750034	7.953671512	7.872692463	7.761099127	7.8353294	7.793358889	7.761099127	7.761099127	8.048606425	7.897880846	7.775218658	7.738267487	7.842546728	8.015070641	7.817542512	7.761099127	7.761099127	7.867419229	7.811823636	7.793358889	7.942913443	7.858519559	7.785505717	7.800531461	7.793358889	8.00113542	7.90219065	7.738267487	7.817542512	7.926020415	8.071475144	7.849420491	7.932681929	7.806494498	8.054906868	8.299161557	7.785505717	7.738267487	7.738267487	8.279031749	7.977852079	7.817542512	7.875306318	7.926020415	7.738267487	7.89998465	7.852559005	7.775218658	7.919772963	7.775218658	7.989700779	7.738267487	7.895523686	7.995536202	7.864652859	7.775218658	7.785505717	7.991721925	8.03290784	7.867419229	7.8353294	7.817542512	7.90219065	7.923988908	7.951449479	7.940642142	7.938696758	7.971924782	7.904536924	7.785505717	7.875306318	7.821844366	7.926020415	7.817542512	7.864652859	7.993590574	7.826919393	7.923988908	7.910993351	8.214516978	7.826919393	7.806494498	7.932681929	7.83136935	7.821844366	7.761099127	8.203344335	7.917642505	7.849420491	7.882865801	7.761099127	7.872692463	7.936587633	7.983484028	8.864498962	8.046540047	7.906501573	7.826919393	7.872692463	7.919772963	7.793358889	7.842546728	7.811823636	7.858519559	7.83136935	7.926020415	7.8353294	7.904536924	8.038738245	7.785505717	7.842546728	8.097052434	7.855787502	7.775218658	7.842546728	8.105150603	7.888174055
"HS_137"	8.046540047	7.86170469	8.026997658	8.026997658	8.046540047	7.963488045	7.806494498	7.975675741	7.897880846	7.977852079	7.970087716	7.849420491	7.993590574	7.926020415	7.959859182	8.082068777	7.913229251	7.975675741	7.999424088	8.028931877	8.036974356	8.028931877	8.022900749	8.103012025	8.00113542	7.915522191	7.977852079	7.959859182	7.934736967	7.959859182	7.947116605	7.975675741	7.88055758	7.970087716	7.959859182	8.157552516	8.013208972	7.940642142	7.88055758	8.1009299	7.999424088	7.993590574	7.926020415	7.995536202	8.028931877	7.993590574	8.031029243	8.064872659	8.026997658	8.040710539	8.015070641	8.079946096	7.981645012	7.965688654	7.973762537	7.987696869	7.953671512	8.00113542	8.0209631	8.151142517	7.970087716	8.099025978	7.979756403	7.995536202	8.036974356	8.069328116	7.897880846	7.906501573	7.965688654	7.913229251	7.955686397	8.219213183	8.325614591	7.867419229	8.011119955	8.16832788	7.965688654	7.951449479	8.007020901	7.977852079	8.03290784	8.017023188	7.963488045	7.949272089	7.895523686	7.846448462	8.03290784	7.942913443	7.932681929	8.015070641	7.970087716	8.058998246	7.858519559	7.977852079	8.125674324	7.991721925	8.03290784	7.88560088	7.981645012	7.999424088	7.989700779	8.00113542	7.977852079	7.910993351	7.973762537	7.852559005	7.90219065	7.953671512	7.897880846	7.963488045	7.919772963	7.997465746	8.031029243	8.013208972	8.015070641	7.963488045	7.928222656	7.961676718	8.009002842	8.011119955	7.947116605	7.959859182	7.945156519	7.940642142	8.028931877	8.024971525	7.938696758	8.056958124	7.906501573	7.890601342	7.88560088	7.936587633	8.056958124	7.8353294	8.011119955	7.872692463	7.913229251	8.127779165	7.940642142	8.309389846	8.017023188	7.867419229	7.989700779	7.926020415	7.821844366	7.923988908	7.932681929	7.981645012	7.942913443	7.817542512	8.020042919	7.915522191	7.965688654	7.906501573	8.005084409	8.14469163	7.919772963	7.955686397	7.913229251	7.875306318	7.945156519	7.983484028	8.177429505	7.945156519	7.855787502	8.061022388	7.940642142	8.031029243	8.013208972	7.983484028	7.997465746	8.007020901	7.991721925	7.917642505	8.013208972	7.915522191	7.888174055	7.90219065	8.251152077	8.04465108	7.997465746	7.997465746	7.991721925	8.026997658	7.932681929	7.864652859	7.938696758	8.117806691	7.904536924	7.953671512	8.0209631	7.999424088	7.940642142	7.926020415	8.007020901	7.979756403	7.942913443	7.981645012	8.003133346	7.993590574	7.961676718
"HS_146.1"	7.973762537	8.111679769	7.961676718	8.056958124	8.019122739	8.009002842	8.054906868	7.997465746	7.88560088	7.910993351	8.009002842	8.069328116	7.995536202	7.993590574	7.904536924	8.06305284	7.995536202	7.979756403	7.973762537	7.970087716	8.031029243	8.078011872	8.054906868	7.951449479	7.932681929	8.216992779	7.970087716	7.983484028	7.957782684	8.050769326	7.945156519	8.069328116	8.16832788	7.973762537	8.040710539	7.906501573	7.993590574	7.963488045	7.932681929	7.983484028	8.035083647	7.938696758	7.934736967	7.977852079	8.026997658	7.975675741	7.932681929	7.936587633	7.938696758	8.064872659	8.071475144	8.013208972	8.06305284	7.983484028	8.026997658	7.872692463	7.895523686	7.997465746	8.005084409	7.919772963	8.0209631	8.061022388	7.942913443	8.036974356	8.192473048	7.985601035	8.056958124	7.921718289	8.050769326	7.989700779	7.981645012	7.987696869	8.06305284	7.955686397	7.973762537	8.090667323	8.007020901	7.908667027	8.015070641	8.03290784	8.028931877	8.036974356	8.225719633	8.052957	7.89998465	8.071475144	7.877919577	8.667427063	7.817542512	8.061022388	7.989700779	7.897880846	8.274433065	8.094928641	8.1009299	8.088591865	7.999424088	8.36601972	8.135973596	7.90219065	8.046540047	8.003133346	8.125674324	8.050769326	8.32287704	8.473235568	7.979756403	8.170483686	7.917642505	7.908667027	8.024971525	7.987696869	7.955686397	7.938696758	7.979756403	7.973762537	8.009002842	8.175237344	8.071475144	7.973762537	8.140110975	7.961676718	8.028931877	8.117806691	7.959859182	8.099025978	7.970087716	7.991721925	8.13189353	7.930378153	8.03290784	8.007020901	7.951449479	8.009002842	8.024971525	7.938696758	8.535998353	8.048606425	8.082068777	7.987696869	8.214516978	8.097052434	7.983484028	8.042657082	8.484032996	7.979756403	8.099025978	7.942913443	8.035083647	7.977852079	8.024971525	8.568860371	8.092723407	8.035083647	8.038738245	7.942913443	8.038738245	8.159576858	7.919772963	8.017023188	7.995536202	7.88560088	8.024971525	7.942913443	8.194835792	7.897880846	7.987696869	7.947116605	8.04465108	7.957782684	8.022900749	7.867419229	8.024971525	8.36320655	7.951449479	8.32287704	8.082068777	7.985601035	8.119746907	8.028931877	8.011119955	8.1009299	8.413304683	8.007020901	7.910993351	8.394981005	8.212164131	7.999424088	8.301785832	7.983484028	8.024971525	7.967739278	8.177429505	7.928222656	8.0209631	8.067047568	7.983484028	8.069328116	7.963488045	8.071475144	7.936587633
"HS_162"	7.83136935	7.846448462	7.897880846	7.945156519	7.882865801	7.917642505	7.971924782	7.897880846	7.882865801	7.940642142	7.957782684	7.89998465	7.888174055	7.882865801	7.89998465	7.817542512	7.973762537	7.940642142	7.932681929	7.890601342	8.03290784	7.89998465	7.970087716	7.949272089	8.003133346	7.877919577	7.923988908	7.910993351	7.877919577	7.838750034	7.842546728	7.983484028	7.890601342	7.86170469	7.90219065	7.983484028	7.855787502	7.88055758	7.913229251	7.975675741	7.910993351	7.872692463	7.821844366	8.031029243	7.987696869	7.936587633	7.963488045	7.921718289	7.930378153	7.955686397	7.8353294	7.963488045	7.852559005	7.999424088	7.86170469	7.86170469	7.913229251	7.875306318	7.88560088	7.906501573	8.011119955	7.961676718	7.934736967	7.928222656	8.022900749	8.050769326	7.83136935	7.977852079	7.858519559	7.917642505	7.864652859	7.945156519	7.993590574	7.979756403	8.036974356	7.953671512	7.983484028	7.977852079	8.078011872	7.910993351	7.870236507	7.761099127	7.821844366	7.800531461	7.999424088	7.738267487	7.932681929	7.897880846	7.963488045	7.951449479	7.936587633	7.842546728	7.821844366	7.965688654	7.932681929	7.826919393	7.864652859	7.953671512	7.930378153	7.983484028	7.906501573	7.875306318	7.963488045	7.849420491	7.875306318	7.877919577	7.970087716	7.849420491	7.864652859	8.251152077	7.897880846	7.923988908	7.991721925	7.967739278	7.852559005	7.910993351	7.936587633	8.205624859	7.882865801	7.938696758	7.821844366	7.915522191	7.838750034	7.967739278	7.963488045	7.973762537	7.926020415	7.949272089	7.806494498	7.999424088	7.910993351	8.011119955	7.995536202	7.90219065	7.775218658	7.983484028	7.917642505	7.945156519	7.913229251	7.826919393	7.942913443	7.826919393	7.877919577	7.930378153	7.917642505	7.846448462	7.893139113	7.867419229	7.867419229	8.005084409	7.949272089	7.895523686	7.864652859	7.932681929	7.846448462	7.904536924	7.806494498	7.932681929	8.111679769	7.906501573	7.888174055	7.919772963	8.0209631	7.88560088	7.897880846	7.875306318	7.959859182	8.084395819	7.895523686	7.977852079	7.942913443	7.852559005	7.959859182	7.90219065	7.981645012	7.90219065	7.961676718	7.917642505	8.117806691	7.897880846	7.957782684	7.959859182	7.890601342	7.888174055	7.949272089	7.838750034	7.867419229	8.099025978	7.875306318	7.936587633	7.775218658	7.811823636	7.989700779	7.800531461	7.955686397	7.921718289	7.940642142	7.864652859	7.928222656	7.89998465	7.959859182
"HS_189.1"	8.269755539	8.212164131	8.1009299	8.105150603	8.061022388	8.064872659	8.11579428	8.227698249	8.015070641	8.127779165	8.811056223	8.094928641	8.343767361	8.196976607	8.14469163	8.279031749	8.243953746	8.221276069	8.380115392	8.301785832	8.18604687	8.260167348	8.18604687	8.371256537	8.34956309	7.977852079	8.064872659	8.201075382	8.979614249	8.058998246	8.239614163	8.328202414	8.123504456	8.25566077	8.113796297	8.188232064	8.28385675	8.148978419	8.480271555	8.198853653	8.164137369	8.320312471	8.343767361	8.219213183	8.005084409	8.539965568	8.181660383	8.035083647	8.067047568	8.279031749	8.127779165	8.452901457	8.14469163	8.125674324	8.123504456	7.89998465	8.146872702	7.991721925	8.40686499	8.11579428	8.223330092	8.580983147	9.038198057	8.304386059	8.572490826	8.328202414	8.239614163	8.227698249	8.391946141	8.251152077	8.038738245	8.607951588	8.607951588	8.092723407	8.170483686	7.947116605	8.272207614	8.155359944	8.328202414	8.304386059	8.792470147	8.090667323	8.088591865	8.179503046	8.241744509	8.330800429	8.257993187	7.89998465	8.205624859	8.346772521	8.175237344	8.207830216	8.142405299	8.286392531	8.196976607	8.052957	8.38903917	8.0209631	8.061022388	8.487651569	8.194835792	8.133769207	8.241744509	8.25566077	7.997465746	8.069328116	8.146872702	8.050769326	8.064872659	8.239614163	8.022900749	7.970087716	8.286392531	8.413304683	8.480271555	8.161981483	8.198853653	8.239614163	8.056958124	8.585509647	8.03290784	8.239614163	8.67838784	8.476788061	8.301785832	8.111679769	8.140110975	7.936587633	8.04465108	8.40686499	8.071475144	8.105150603	8.097052434	8.103012025	8.274433065	8.246436975	8.031029243	8.237358053	8.048606425	8.177429505	8.042657082	7.995536202	8.532298415	8.357593455	8.048606425	8.153222063	8.246436975	8.314811451	8.069328116	8.246436975	8.26489571	8.058998246	8.026997658	8.153222063	8.148978419	8.179503046	8.142405299	8.058998246	8.325614591	8.269755539	8.299161557	8.484032996	8.157552516	8.069328116	8.105150603	7.995536202	8.299161557	8.243953746	8.227698249	8.296497664	8.028931877	8.262549044	8.094928641	8.036974356	8.1009299	7.967739278	8.241744509	8.445999456	8.276636012	8.038738245	9.283843373	8.194835792	8.079946096	8.371256537	8.140110975	7.993590574	8.133769207	8.246436975	7.897880846	8.445999456	8.36601972	8.135973596	8.216992779	8.232521744	8.177429505	8.36858789	8.248808724	8.005084409	8.214516978	8.386190682	8.026997658
"HS_198"	7.989700779	8.038738245	7.8353294	7.908667027	7.923988908	7.86170469	7.945156519	7.775218658	7.910993351	8.192473048	8.084395819	7.910993351	7.872692463	7.89998465	7.858519559	7.951449479	7.936587633	7.817542512	7.738267487	8.056958124	7.8353294	7.846448462	7.917642505	7.970087716	7.888174055	7.893139113	7.870236507	7.930378153	7.888174055	7.921718289	7.872692463	7.826919393	7.858519559	7.88055758	7.826919393	7.895523686	7.793358889	8.079946096	7.945156519	7.934736967	8.019122739	7.870236507	7.895523686	8.017023188	7.915522191	7.806494498	7.895523686	7.919772963	7.965688654	7.928222656	7.864652859	7.893139113	7.897880846	8.088591865	7.858519559	7.849420491	7.882865801	7.872692463	7.936587633	7.940642142	7.826919393	7.88055758	7.849420491	7.88560088	7.897880846	7.8353294	7.872692463	7.991721925	7.86170469	7.817542512	7.89998465	8.013208972	7.979756403	7.985601035	7.877919577	7.858519559	7.970087716	7.945156519	7.913229251	7.855787502	7.89998465	7.875306318	7.806494498	7.88055758	7.965688654	8.028931877	7.940642142	8.048606425	7.970087716	7.842546728	7.897880846	7.945156519	7.890601342	7.908667027	7.90219065	7.846448462	7.940642142	7.997465746	7.875306318	7.821844366	7.806494498	7.882865801	7.945156519	7.930378153	7.89998465	7.967739278	7.86170469	7.877919577	7.965688654	7.842546728	7.951449479	7.870236507	8.301785832	7.872692463	7.940642142	7.867419229	7.882865801	8.516779307	7.938696758	7.849420491	7.852559005	7.904536924	7.867419229	7.838750034	7.826919393	7.932681929	7.761099127	7.86170469	7.936587633	7.811823636	7.821844366	7.855787502	7.928222656	7.949272089	7.811823636	7.888174055	8.028931877	8.017023188	8.067047568	7.940642142	7.951449479	8.094928641	7.975675741	7.785505717	7.983484028	7.999424088	7.89998465	8.022900749	7.877919577	7.793358889	7.88560088	7.842546728	7.915522191	7.926020415	7.793358889	7.800531461	7.8353294	7.864652859	7.932681929	7.8353294	7.955686397	7.906501573	7.858519559	7.890601342	7.951449479	7.855787502	7.761099127	7.800531461	7.852559005	7.915522191	7.904536924	7.864652859	7.917642505	7.945156519	8.03290784	8.119746907	7.872692463	7.963488045	7.775218658	8.082068777	7.867419229	7.977852079	7.940642142	7.806494498	7.961676718	8.105150603	7.947116605	7.852559005	7.923988908	7.867419229	7.906501573	7.959859182	7.888174055	7.858519559	7.928222656	7.932681929	7.904536924	7.928222656	7.849420491	7.826919393	7.846448462
